[SLM] resuming from existing checkpoint: /Users/ravindrasingh/Documents/AI-Agents/PikuAI/pikuai-gaurdrails/models/piku-slm-guardrail-smollm2-135m/pytorch_model.bin
[SLM] training start: device=mps train_rows=79520 dev_rows=9933 batch_size=2 max_length=128 freeze_backbone=True resume_if_available=True
[SLM] epoch 1/1 start
[SLM] epoch 1 batch 10650/39760 loss=2.7630
[SLM] epoch 1 batch 10675/39760 loss=1.8405
[SLM] epoch 1 batch 10700/39760 loss=2.7453
[SLM] epoch 1 batch 10725/39760 loss=2.5750
[SLM] epoch 1 batch 10750/39760 loss=2.4523
[SLM] epoch 1 batch 10775/39760 loss=4.3900
[SLM] epoch 1 batch 10800/39760 loss=5.3913
[SLM] epoch 1 batch 10825/39760 loss=3.9281
[SLM] epoch 1 batch 10850/39760 loss=5.7315
[SLM] epoch 1 batch 10875/39760 loss=3.5324
[SLM] epoch 1 batch 10900/39760 loss=6.2636
[SLM] epoch 1 batch 10925/39760 loss=15.4384
[SLM] epoch 1 batch 10950/39760 loss=2.6468
[SLM] epoch 1 batch 10975/39760 loss=5.8187
[SLM] epoch 1 batch 11000/39760 loss=2.8394
[SLM] epoch 1 batch 11025/39760 loss=2.2937
[SLM] epoch 1 batch 11050/39760 loss=3.5810
[SLM] epoch 1 batch 11075/39760 loss=3.1859
[SLM] epoch 1 batch 11100/39760 loss=1.9789
[SLM] epoch 1 batch 11125/39760 loss=3.2349
[SLM] epoch 1 batch 11150/39760 loss=3.3634
[SLM] epoch 1 batch 11175/39760 loss=1.3396
[SLM] epoch 1 batch 11200/39760 loss=2.4709
[SLM] epoch 1 batch 11225/39760 loss=11.4296
[SLM] epoch 1 batch 11250/39760 loss=3.4053
[SLM] epoch 1 batch 11275/39760 loss=2.5307
[SLM] epoch 1 batch 11300/39760 loss=9.6149
[SLM] epoch 1 batch 11325/39760 loss=4.8584
[SLM] epoch 1 batch 11350/39760 loss=6.0789
[SLM] epoch 1 batch 11375/39760 loss=6.4634
[SLM] epoch 1 batch 11400/39760 loss=3.1441
[SLM] epoch 1 batch 11425/39760 loss=2.8372
[SLM] epoch 1 batch 11450/39760 loss=2.9054
[SLM] epoch 1 batch 11475/39760 loss=1.9726
[SLM] epoch 1 batch 11500/39760 loss=5.1209
[SLM] epoch 1 batch 11525/39760 loss=4.7193
[SLM] epoch 1 batch 11550/39760 loss=7.0078
[SLM] epoch 1 batch 11575/39760 loss=2.5476
[SLM] epoch 1 batch 11600/39760 loss=3.1670
[SLM] epoch 1 batch 11625/39760 loss=3.4972
